image_id,bbox,category_id,id,num_bboxes
id_fvldv7o1kn9d,"[500.0, 141.0, 74.0, 70.0]",2.0,2305.0,18
id_5d1r9l1jp7b5,"[304.0, 525.0, 54.0, 58.0]",2.0,238.0,16
id_45qru79t6s4n,"[187.0, 298.0, 44.0, 56.0]",2.0,921.0,7
id_84cjf2pbqmtv,"[349.0, 721.0, 58.0, 59.0]",2.0,1362.0,17
id_n02t0qxjfwkk,"[448.0, 286.0, 68.0, 71.0]",2.0,4567.0,46
id_av0kj02v1wvd,"[338.0, 770.0, 63.0, 57.0]",2.0,751.0,11
id_mft19h9at64a,"[0.0, 818.0, 53.0, 59.0]",2.0,3366.0,13
id_629qqoar89nk,"[285.0, 657.0, 55.0, 66.0]",2.0,1456.0,22
id_1hovgv67qqcv,"[545.0, 435.0, 65.0, 65.0]",2.0,353.0,19
id_9ofoz0hx7dx3,"[623.0, 907.0, 56.0, 55.0]",2.0,1113.0,21
id_xq8b3i3a40qp,"[524.0, 620.0, 42.0, 52.0]",2.0,2519.0,9
id_xnhayk6pbv1z,"[432.0, 767.0, 73.0, 70.0]",2.0,6614.0,30
id_cl019xr9fs1z,"[243.0, 87.0, 64.0, 65.0]",2.0,2697.0,20
id_nhtlvmbctg4m,"[876.0, 676.0, 70.0, 56.0]",2.0,4697.0,7
id_yxoxzbs1brs1,"[912.0, 493.0, 41.0, 33.0]",2.0,6896.0,32
id_a7czdjdqtee8,"[29.0, 847.0, 48.0, 55.0]",2.0,2349.0,4
id_0fttj9djpvtd,"[862.0, 844.0, 56.0, 32.0]",2.0,112.0,5
id_arrv98g89a1z,"[428.0, 230.0, 65.0, 57.0]",2.0,2547.0,47
id_euindq235iig,"[888.0, 978.0, 33.0, 21.0]",2.0,2929.0,12
id_kfftv61h1zuo,"[746.0, 208.0, 125.0, 117.0]",3.0,2570.0,4
id_z0ufqwhks04x,"[437.0, 304.0, 20.0, 26.0]",2.0,6906.0,8
id_h5ytgiodszpo,"[164.0, 428.0, 32.0, 27.0]",3.0,2631.0,27
id_3yvacmqgzdfk,"[116.0, 525.0, 32.0, 36.0]",3.0,208.0,10
id_lpy50yci19qo,"[197.0, 825.0, 43.0, 55.0]",2.0,4321.0,12
id_gxgze3b2ibnm,"[398.0, 296.0, 107.0, 83.0]",2.0,3573.0,8
id_afdtputtmjjc,"[455.0, 471.0, 41.0, 31.0]",2.0,2381.0,14
id_8utbexayv0d3,"[163.0, 278.0, 43.0, 37.0]",2.0,1640.0,7
id_w3mqzarmiyqv,"[912.0, 705.0, 46.0, 37.0]",2.0,6508.0,18
id_9bwmmfeygnfk,"[203.0, 592.0, 48.0, 46.0]",2.0,1059.0,23
id_8cvmiitzmgab,"[835.0, 654.0, 49.0, 41.0]",3.0,2094.0,6
id_mtynso6hsrod,,,,1
id_4se08aj44wgw,"[655.0, 204.0, 81.0, 55.0]",2.0,1119.0,31
id_0u24mi4mocso,"[271.0, 75.0, 57.0, 59.0]",2.0,210.0,7
id_8cvmiitzmgab,"[719.0, 52.0, 33.0, 26.0]",3.0,2093.0,6
id_3u8m5yofh6ej,"[485.0, 73.0, 81.0, 74.0]",2.0,496.0,6
id_6dqo5hpe12fn,"[151.0, 147.0, 53.0, 56.0]",2.0,1667.0,48
id_7oudsw9i4mo0,"[17.0, 303.0, 44.0, 38.0]",2.0,1675.0,34
id_ndmxz2ovymdh,"[583.0, 860.0, 64.0, 59.0]",2.0,4618.0,34
id_2nife6lnynfg,"[680.0, 569.0, 64.0, 46.0]",2.0,773.0,62
id_0svlfj41isxt,"[39.0, 338.0, 23.0, 19.0]",2.0,90.0,37
id_gvlp156t0yw2,"[292.0, 232.0, 82.0, 49.0]",2.0,3447.0,7
id_px13ilvq9303,"[694.0, 795.0, 68.0, 105.0]",2.0,5629.0,54
id_9a23revha7er,"[639.0, 0.0, 193.0, 194.0]",2.0,2191.0,17
id_sm7uwy4psab3,"[241.0, 363.0, 27.0, 40.0]",2.0,3524.0,40
id_1ow6ctv4gow6,"[254.0, 355.0, 47.0, 37.0]",2.0,422.0,109
id_mks447ydajdt,"[679.0, 867.0, 37.0, 36.0]",2.0,5118.0,9
id_9mp4ekau1lve,"[713.0, 193.0, 55.0, 53.0]",2.0,2365.0,10
id_0v85a76qcx9m,"[433.0, 870.0, 34.0, 39.0]",2.0,223.0,128
id_71a1c3wwdnrx,"[940.0, 475.0, 59.0, 89.0]",2.0,1537.0,6
id_suwtpmdcxyi3,"[240.0, 162.0, 60.0, 50.0]",2.0,5673.0,69
id_wn3xtkpps58s,"[541.0, 530.0, 49.0, 58.0]",2.0,6602.0,13
id_gotir6py99bi,"[451.0, 531.0, 54.0, 36.0]",2.0,2116.0,3
id_4k8qbsiyukh8,"[425.0, 151.0, 53.0, 40.0]",2.0,918.0,8
id_nmqfh8t6kuh4,"[43.0, 56.0, 52.0, 53.0]",2.0,4752.0,21
id_1ow6ctv4gow6,"[262.0, 730.0, 63.0, 81.0]",2.0,439.0,109
id_u8x63q2fakzl,,,,1
id_0yq35f0v6sz7,,,,1
id_irh3d9urvkwm,"[101.0, 130.0, 47.0, 39.0]",2.0,4226.0,17
id_ib73azmimqvm,"[53.0, 944.0, 34.0, 35.0]",3.0,3917.0,9
id_2e1ttept10qz,"[2.0, 490.0, 114.0, 172.0]",2.0,287.0,25
id_8viug44jcgx5,"[368.0, 936.0, 57.0, 58.0]",2.0,558.0,27
id_y3ti1keqvnhx,"[256.0, 16.0, 62.0, 54.0]",2.0,7130.0,87
id_kq357v0gf6xp,"[684.0, 935.0, 59.0, 64.0]",2.0,4106.0,31
id_08lo167ixmls,"[652.0, 651.0, 63.0, 49.0]",2.0,61.0,6
id_vsegobbo8gn1,"[633.0, 750.0, 54.0, 48.0]",2.0,6395.0,10
id_4nj2f3n5yth5,"[32.0, 746.0, 49.0, 58.0]",2.0,1058.0,5
id_7uc3g08bmgaz,"[532.0, 724.0, 88.0, 89.0]",2.0,1455.0,30
id_f8e74zzgiika,"[855.0, 347.0, 110.0, 91.0]",3.0,2259.0,2
id_r1jp3o9wmwjq,"[263.0, 258.0, 66.0, 54.0]",2.0,4013.0,9
id_2jmrcp6ab3ux,,,,1
id_dq2ujmq2200r,"[86.0, 352.0, 42.0, 50.0]",2.0,1698.0,25
id_o7codcqtcd48,"[485.0, 214.0, 41.0, 37.0]",3.0,2972.0,7
id_qetw91n944m0,"[315.0, 452.0, 24.0, 40.0]",2.0,5076.0,13
id_l6ak7zfsk108,"[435.0, 588.0, 46.0, 30.0]",2.0,1572.0,8
id_8w3uurtfe3pe,"[670.0, 436.0, 64.0, 58.0]",2.0,1027.0,16
id_iykctec21oj8,"[202.0, 422.0, 44.0, 42.0]",2.0,4281.0,41
id_6yyo1o9akleh,"[479.0, 584.0, 51.0, 34.0]",2.0,1141.0,35
id_u4u7eldxyt5z,"[4.0, 632.0, 58.0, 55.0]",2.0,4437.0,5
id_20i9t6ale8sd,"[265.0, 148.0, 20.0, 19.0]",2.0,555.0,16
id_lhitjxlbj13v,"[279.0, 155.0, 27.0, 25.0]",2.0,4786.0,84
id_334ru6r0j44b,"[484.0, 178.0, 42.0, 41.0]",2.0,867.0,42
id_16jqetbm5uwy,"[416.0, 179.0, 164.0, 96.0]",2.0,141.0,6
id_46age0p87oe4,"[256.0, 291.0, 39.0, 35.0]",2.0,526.0,1
id_u2sjfan1opfg,"[141.0, 51.0, 41.0, 40.0]",3.0,4435.0,1
id_vbs5eu3q9utb,"[933.0, 285.0, 57.0, 67.0]",2.0,2208.0,2
id_75em9uv7mysl,"[384.0, 460.0, 47.0, 32.0]",2.0,1781.0,67
id_jb42fwfkbjjs,"[468.0, 710.0, 45.0, 41.0]",2.0,1492.0,5
id_d6nziy7nimi3,"[78.0, 618.0, 44.0, 73.0]",2.0,1082.0,84
id_qufbm4pbpzhd,"[677.0, 542.0, 74.0, 49.0]",2.0,3992.0,1
id_d6nziy7nimi3,"[696.0, 589.0, 42.0, 48.0]",2.0,1053.0,84
